[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.003s][info][gc       ] Using G1
[0.404s][info][metaspace] Reserving compressed class space anywhere
[0.409s][info][gc,metaspace] CDS archive(s) not mapped
[0.409s][info][gc,metaspace] Compressed class space mapped at: 0x0000000037000000-0x00000000f7000000, reserved size: 3221225472
[0.409s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, narrow klass pointer bits 22, max shift 10
[0.409s][info][gc,metaspace] Narrow klass base: 0x0000000037000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 256
Num Objects per Class: 262144
Cycles: 100
Class association: random
Generate 256 classes...[1.429s][info][gc,metaspace] GC(0) Metaspace: 21739K(22016K)->21739K(22016K) NonClass: 18026K(18176K)->18026K(18176K) Class: 3712K(3840K)->3712K(3840K)
[23.262s][info][gc,metaspace] GC(55) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[23.262s][info][gc          ] GC(55) Pause Full (System.gc()) 775M->775M(6144M) 344.916ms
[23.609s][info][gc,metaspace] GC(56) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[23.609s][info][gc          ] GC(56) Pause Full (System.gc()) 775M->775M(6144M) 346.181ms
[23.920s][info][gc,metaspace] GC(57) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[23.920s][info][gc          ] GC(57) Pause Full (System.gc()) 775M->775M(6144M) 311.144ms
[24.245s][info][gc,metaspace] GC(58) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[24.245s][info][gc          ] GC(58) Pause Full (System.gc()) 775M->775M(6144M) 324.663ms
[24.596s][info][gc,metaspace] GC(59) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[24.596s][info][gc          ] GC(59) Pause Full (System.gc()) 775M->775M(6144M) 351.776ms
[24.916s][info][gc,metaspace] GC(60) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[24.916s][info][gc          ] GC(60) Pause Full (System.gc()) 775M->775M(6144M) 319.565ms
[25.252s][info][gc,metaspace] GC(61) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[25.252s][info][gc          ] GC(61) Pause Full (System.gc()) 775M->775M(6144M) 336.377ms
[25.621s][info][gc,metaspace] GC(62) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[25.621s][info][gc          ] GC(62) Pause Full (System.gc()) 775M->775M(6144M) 368.239ms
[25.938s][info][gc,metaspace] GC(63) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[25.938s][info][gc          ] GC(63) Pause Full (System.gc()) 775M->775M(6144M) 317.394ms
[26.263s][info][gc,metaspace] GC(64) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[26.263s][info][gc          ] GC(64) Pause Full (System.gc()) 775M->775M(6144M) 325.138ms
[26.602s][info][gc,metaspace] GC(65) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[26.602s][info][gc          ] GC(65) Pause Full (System.gc()) 775M->775M(6144M) 338.545ms
[26.930s][info][gc,metaspace] GC(66) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[26.930s][info][gc          ] GC(66) Pause Full (System.gc()) 775M->775M(6144M) 327.940ms
[27.254s][info][gc,metaspace] GC(67) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[27.254s][info][gc          ] GC(67) Pause Full (System.gc()) 775M->775M(6144M) 324.185ms
[27.592s][info][gc,metaspace] GC(68) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[27.592s][info][gc          ] GC(68) Pause Full (System.gc()) 775M->775M(6144M) 337.984ms
[27.957s][info][gc,metaspace] GC(69) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[27.957s][info][gc          ] GC(69) Pause Full (System.gc()) 775M->775M(6144M) 360.476ms
[28.294s][info][gc,metaspace] GC(70) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[28.294s][info][gc          ] GC(70) Pause Full (System.gc()) 775M->775M(6144M) 337.224ms
[28.643s][info][gc,metaspace] GC(71) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[28.643s][info][gc          ] GC(71) Pause Full (System.gc()) 775M->775M(6144M) 348.718ms
[28.967s][info][gc,metaspace] GC(72) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[28.967s][info][gc          ] GC(72) Pause Full (System.gc()) 775M->775M(6144M) 323.365ms
[29.308s][info][gc,metaspace] GC(73) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[29.308s][info][gc          ] GC(73) Pause Full (System.gc()) 775M->775M(6144M) 341.654ms
[29.658s][info][gc,metaspace] GC(74) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[29.658s][info][gc          ] GC(74) Pause Full (System.gc()) 775M->775M(6144M) 349.085ms
[29.983s][info][gc,metaspace] GC(75) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[29.983s][info][gc          ] GC(75) Pause Full (System.gc()) 775M->775M(6144M) 325.150ms
[30.303s][info][gc,metaspace] GC(76) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[30.303s][info][gc          ] GC(76) Pause Full (System.gc()) 775M->775M(6144M) 320.607ms
[30.638s][info][gc,metaspace] GC(77) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[30.638s][info][gc          ] GC(77) Pause Full (System.gc()) 775M->775M(6144M) 334.834ms
[30.965s][info][gc,metaspace] GC(78) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[30.965s][info][gc          ] GC(78) Pause Full (System.gc()) 775M->775M(6144M) 326.433ms
[31.291s][info][gc,metaspace] GC(79) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[31.291s][info][gc          ] GC(79) Pause Full (System.gc()) 775M->775M(6144M) 326.316ms
[31.626s][info][gc,metaspace] GC(80) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[31.626s][info][gc          ] GC(80) Pause Full (System.gc()) 775M->775M(6144M) 335.093ms
[31.960s][info][gc,metaspace] GC(81) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
