[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using G1
[0.435s][info][metaspace] Reserving compressed class space anywhere
[0.440s][info][gc,metaspace] CDS archive(s) not mapped
[0.440s][info][gc,metaspace] Compressed class space mapped at: 0x000000003c000000-0x00000000fc000000, reserved size: 3221225472
[0.440s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, narrow klass pointer bits 22, max shift 10
[0.440s][info][gc,metaspace] Narrow klass base: 0x000000003c000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 256
Num Objects per Class: 262144
Cycles: 100
Class association: random
Generate 256 classes...[1.423s][info][gc,metaspace] GC(0) Metaspace: 21726K(22016K)->21726K(22016K) NonClass: 18008K(18176K)->18008K(18176K) Class: 3717K(3840K)->3717K(3840K)
[18.131s][info][gc,metaspace] GC(38) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[18.131s][info][gc          ] GC(38) Pause Full (System.gc()) 775M->775M(6144M) 340.022ms
[18.474s][info][gc,metaspace] GC(39) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[18.474s][info][gc          ] GC(39) Pause Full (System.gc()) 775M->775M(6144M) 342.629ms
[18.812s][info][gc,metaspace] GC(40) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[18.813s][info][gc          ] GC(40) Pause Full (System.gc()) 775M->775M(6144M) 338.728ms
[19.159s][info][gc,metaspace] GC(41) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[19.159s][info][gc          ] GC(41) Pause Full (System.gc()) 775M->775M(6144M) 346.268ms
[19.521s][info][gc,metaspace] GC(42) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[19.521s][info][gc          ] GC(42) Pause Full (System.gc()) 775M->775M(6144M) 361.839ms
[19.867s][info][gc,metaspace] GC(43) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[19.867s][info][gc          ] GC(43) Pause Full (System.gc()) 775M->775M(6144M) 346.102ms
[20.249s][info][gc,metaspace] GC(44) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[20.249s][info][gc          ] GC(44) Pause Full (System.gc()) 775M->775M(6144M) 382.352ms
[20.587s][info][gc,metaspace] GC(45) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[20.587s][info][gc          ] GC(45) Pause Full (System.gc()) 775M->775M(6144M) 337.344ms
[20.947s][info][gc,metaspace] GC(46) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[20.947s][info][gc          ] GC(46) Pause Full (System.gc()) 775M->775M(6144M) 359.940ms
[21.334s][info][gc,metaspace] GC(47) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[21.334s][info][gc          ] GC(47) Pause Full (System.gc()) 775M->775M(6144M) 387.241ms
[21.673s][info][gc,metaspace] GC(48) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[21.673s][info][gc          ] GC(48) Pause Full (System.gc()) 775M->775M(6144M) 338.759ms
[22.009s][info][gc,metaspace] GC(49) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[22.009s][info][gc          ] GC(49) Pause Full (System.gc()) 775M->775M(6144M) 336.572ms
[22.371s][info][gc,metaspace] GC(50) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[22.371s][info][gc          ] GC(50) Pause Full (System.gc()) 775M->775M(6144M) 361.910ms
[22.706s][info][gc,metaspace] GC(51) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[22.706s][info][gc          ] GC(51) Pause Full (System.gc()) 775M->775M(6144M) 334.444ms
[23.046s][info][gc,metaspace] GC(52) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[23.046s][info][gc          ] GC(52) Pause Full (System.gc()) 775M->775M(6144M) 339.826ms
[23.390s][info][gc,metaspace] GC(53) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
